brand,description,num_review,price,rating,sale_price,shoe_type
FitFlop, Women's Allegro Leather Ballerinas Flats,224,100.0,82.68,49.93,Flats
Calvin Klein, Women's Lanay Loafers Shoes,0,99.0,0.0,49.5,Flats
Lucky Brand, Alba Flats,6,69.0,86.67,69.0,Flats
TOMS, Women's Alpargata Heritage Slip On Flats,7,49.0,88.57,49.0,Flats
Easy Spirit, Women's Gift Slip-On Casual Shoe,2,69.0,60.0,34.43,Flats
Naturalizer, Samantha Flats,36,89.0,68.33,89.0,Flats
Bzees, Red-Hot Washable Slip-Ons,20,79.0,83.0,79.0,Flats
COACH, Women's Crosby Driver Turnlock Flats,75,165.0,74.67,99.0,Flats
Naturalizer, Beale Slip-ons,21,110.0,80.0,110.0,Flats
Eileen Fisher, Women's Embrace Loafers,0,165.0,0.0,165.0,Flats
Alfani," Women's Step N Flex Rigsdy Mules, Created for Macy's",0,69.5,0.0,29.93,Flats
Sun + Stone," Jilly Pointed-Toe Flats, Created for Macy's",15,69.5,88.0,29.93,Flats
Karl Lagerfeld Paris, Women's Caralee Embellished Flats,0,109.0,0.0,109.0,Flats
TOMS, Women's Alpargata Slip On Flats,152,49.0,88.55,49.0,Flats
Sperry, Women's A/O Float Slides,2,45.0,60.0,45.0,Flats
MICHAEL Michael Kors, Women's Lenny Slip-on Espadrille Flats,1,99.0,100.0,59.99,Flats
Clarks, Women's Cloudsteppers Brinkley Jazz Sandals,387,55.0,96.33,55.0,Flats
MICHAEL Michael Kors, Kendrick Slip-On Espadrille Flats,160,85.0,87.62,85.0,Flats
Sun + Stone," Eliana Flats, Created for Macy's",94,49.5,75.11,49.5,Flats
Charter Club," Jonii Espadrille Flats, Created for Macy's",16,59.5,80.0,35.7,Flats
Giani Bernini," Dailyn Memory Foam Loafers, Created for Macy's",212,89.5,88.4,89.5,Flats
MICHAEL Michael Kors, Lillie Moccasin Flats,297,99.0,81.55,99.0,Flats
Baretraps, Harmony Mary Jane Flats,25,69.0,95.2,29.93,Flats
Alfani," Women's Step 'N Flex Tavii Flats, Created for Macy's",197,59.5,88.12,59.5,Flats
Easy Spirit, Women's Gabbie Ballet Flats,9,69.0,84.44,33.99,Flats
LifeStride, Keaton Slip-on Wedge Espadrilles,24,75.0,81.67,75.0,Flats
MICHAEL Michael Kors, Lillie Slip On Espadrille Flats,1,110.0,80.0,54.93,Flats
Alfani," Women's Step 'N Flex Tavii Flats, Created for Macy's",2,59.5,100.0,24.93,Flats
COACH, Women's Marley Driver Loafers,39,130.0,85.13,130.0,Flats
Lauren Ralph Lauren, Women's Cameryn Espadrilles,8,80.0,77.5,80.0,Flats
INC International Concepts," INC Jalissa Mules, Created for Macy's",7,69.5,68.57,29.93,Flats
Cole Haan, ØriginalGrand Stitchlite Oxfords,9,140.0,82.22,140.0,Flats
INC International Concepts," INC Jalissa Mules, Created for Macy's",0,69.5,0.0,29.93,Flats
Alfani," Women's Step 'N Flex Aleaa Ballet Flats, Created for Macy's",54,69.5,73.7,19.93,Flats
Karen Scott," Carolton Slingback Sandals, Created for Macy's",14,49.5,87.14,29.7,Flats
Skechers, Women's BOBS Plush - Peace and Love Casual Slip-On Flats from Finish Line,740,45.0,88.49,35.0,Flats
Sam Edelman, Women's Loraine Bit Loafers,167,130.0,92.22,130.0,Flats
MICHAEL Michael Kors, Finley Perforated Casual Loafers,2,135.0,100.0,64.93,Flats
Charter Club," Kimii Deconstructed Loafers, Created for Macy's",38,59.5,93.68,59.5,Flats
Baretraps, Mitsy Casual Women's Flat,15,59.0,94.67,24.93,Flats
XOXO, Women's Vany Flat Shoe,0,49.0,0.0,49.0,Flats
Style & Co," Angelynn Flats, Created for Macy's",478,49.5,86.69,49.5,Flats
Nine West, Women's Mage Tie-Up Espadrilles,0,69.0,0.0,41.4,Flats
Clarks, Women's Serena Paige Shoes,24,95.0,79.17,44.93,Flats
Giani Bernini," Morann Loafers, Created for Macy's",1,79.5,80.0,34.93,Flats
Sun + Stone," Ninna Mules, Created for Macy's",49,49.5,81.63,49.5,Flats
LifeStride, Karma Espadrille Slip-on Wedges,28,70.0,78.57,70.0,Flats
Nine West, Women's Saige D'orsay Slip-on Flats,1,59.0,100.0,59.0,Flats
Cliffs by White Mountain, Clara II Women's Ballet Flats,1,59.0,100.0,28.99,Flats
Franco Sarto, Ailee Flats,70,89.0,83.43,89.0,Flats
Bandolino, Women's Anezia Ballet Flats,1,69.0,80.0,29.93,Flats
INC International Concepts," INC Jenaya Square-Toe Flats, Created for Macy's",10,69.5,94.0,29.93,Flats
Bella Vita, Women's Jimena Flats,0,90.0,0.0,53.99,Flats
INC International Concepts," INC Zafira Quilted Mules, Created for Macy's",5,59.5,76.0,24.93,Flats
Born," Lilly Flats, Created for Macy's",251,95.0,86.22,95.0,Flats
Charter Club," Margott Suede Tassel Loafers, Created for Macy's",44,79.5,91.82,34.93,Flats
Easy Spirit, Women's Avienta Loafers,62,79.0,86.77,79.0,Flats
Naturalizer, Philippa Slip-ons,2,89.0,100.0,53.4,Flats
kate spade new york, Women's Honey Ballet Flats,2,128.0,90.0,89.6,Flats
Cole Haan, Women's Piper Mules,13,100.0,100.0,100.0,Flats
LifeStride, Katrina 2 Espadrille Slip-on Wedges,14,80.0,85.71,80.0,Flats
Naturalizer, Rome Slip-ons,12,79.0,86.67,79.0,Flats
Baretraps, Mariah Comfort Flat Shoe,83,59.0,77.11,59.0,Flats
Rockport, Women's Adelyn Ballet Flats,128,110.0,81.09,110.0,Flats
Wild Pair," Antionette Studded Mules, Created for Macy's",3,59.5,73.33,24.93,Flats
Charter Club," Margott Suede Tassel Loafers, Created for Macy's",44,79.5,91.82,34.93,Flats
Naturalizer, Maxwell Flats,1,79.0,100.0,79.0,Flats
Circus by Sam Edelman, Omina Slingback Flats,1,69.0,100.0,69.0,Flats
Giani Bernini," Odeysa Memory Foam Perforated Ballet Flats, Created for Macy's",138,79.5,71.59,47.7,Flats
Easy Spirit, Women's Acasia 3 Flats,5,69.0,84.0,69.0,Flats
Zodiac, Hill Flats,41,79.0,83.41,79.0,Flats
Sam Edelman, Women's Linnie Bit Mules,65,130.0,89.85,130.0,Flats
INC International Concepts," Juney Rhinestone Flats, Created for Macy's",7,79.5,77.14,79.5,Flats
Rialto,  Vobbia Comfort Clog Sandals,0,59.0,0.0,59.0,Clogs
Clarks, Collection Women's Ashland Joy Flats,12,85.0,86.67,50.99,Clogs
Eastland Shoe, Mae Women's Clogs,11,90.0,94.55,90.0,Clogs
Birkenstock, Women's Zermatt Clog Slippers from Finish Line,8,100.0,90.0,100.0,Clogs
Frye, Women's Millie Clogs,0,228.0,0.0,228.0,Clogs
SoftWalk, Abby Slip-on Clogs,2,99.95,60.0,99.95,Clogs
Easy Spirit, Women's Equinox Clogs,11,69.0,81.82,69.0,Clogs
Shoes For Crews," Zinc, Unisex Slip Resistant Casual Shoe",0,39.98,0.0,39.98,Clogs
Clarks, Cloudsteppers Women's Sillian 2.0 Clog Mules,20,85.0,74.0,85.0,Clogs
Easy Street, Easy Works by Appreciate Slip-on Clogs,12,79.99,65.0,39.99,Clogs
Clarks, Collection Women's Grasp Chime Clogs,28,90.0,67.14,53.99,Clogs
SoftWalk, Women's Vida Clog,1,109.95,100.0,109.95,Clogs
Easy Street, Origin Clogs,28,50.0,62.14,24.99,Clogs
Easy Street, Easy Works by Women's Bind Clogs,12,79.99,65.0,39.99,Clogs
Journee Collection, Women's Lorica Clogs,3,75.0,100.0,75.0,Clogs
SoftWalk, Women's Meredith Sport Clog,0,99.95,0.0,99.95,Clogs
Spring Step, L'Artiste Women's Parkway Mary Jane Sandals,0,99.95,0.0,99.95,Clogs
Skechers, Women's Foamies- Gowalk 5 - Sea Scape Clogs from Finish Line,3,50.0,80.0,50.0,Clogs
Eastland Shoe, Eastland Women's Gina Clogs,5,70.0,84.0,70.0,Clogs
b.o.c., Women's Peggy Comfort Clog,1,80.0,100.0,80.0,Clogs
Easy Street, Easy Works by Appreciate Slip-on Clogs,1,79.99,20.0,39.99,Clogs
Easy Street, Women's Easy Works Leeza Slip Resistant Clogs,3,55.0,60.0,26.99,Clogs
Spring Step, L'Artiste Women's Gloss Mary Jane Shoes,0,119.95,0.0,119.95,Clogs
Easy Street, Easy Works By Lyndee Slip Resistant Clogs,0,50.0,0.0,24.99,Clogs
Shoes For Crews," Zinc, Unisex Slip Resistant Casual Shoe",0,39.98,0.0,39.98,Clogs
SoftWalk, Women's Wolcott Clog,0,114.95,0.0,114.95,Clogs
b.o.c., Women's Peggy Comfort Clog,0,80.0,0.0,80.0,Clogs
L'Artiste, Women's Brankla Burnished Polished Clogs,0,89.95,0.0,89.95,Clogs
Easy Street, Easy Works by Women's Appreciate Clogs,0,80.0,0.0,80.0,Clogs
Spring Step, L'Artiste Women's Anchorbank Clogs,0,119.95,0.0,119.95,Clogs
CL by Chinese Laundry, Women's Catherin Mule,0,64.99,0.0,64.99,Clogs
THERAFIT, Shoe Austin Lite Clog,1,120.0,60.0,120.0,Clogs
Easy Street, Darcy Clogs,69,55.0,80.0,55.0,Clogs
Earth, Women's Origins Jade Slip On Clog,0,70.0,0.0,70.0,Clogs
Eastland Shoe, Eastland Women's Constance Clogs,3,80.0,86.67,80.0,Clogs
Easy Street, Easy Works by Appreciate Slip-on Clogs,1,79.99,100.0,39.99,Clogs
THERAFIT, Shoe Molly Denim Clog,0,150.0,0.0,150.0,Clogs
THERAFIT, Shoe Molly Leather Clog,3,150.0,66.67,150.0,Clogs
Easy Street, Easy Works by Bind Slip Resistant Clogs,0,80.0,0.0,39.99,Clogs
Easy Street, Easy Works by Bind Slip-on Clogs,1,80.0,80.0,39.99,Clogs
Easy Street, Easy Works by Kris Clogs,4,40.0,90.0,19.99,Clogs
THERAFIT, Shoe Chloe Adjustable Leather Clog,0,155.0,0.0,155.0,Clogs
THERAFIT, Women's Willow Slippers,0,139.95,0.0,139.95,Clogs
Camper, Women's Pix Formal Shoes,0,155.0,0.0,155.0,Clogs
Camper, Women's Pix Formal Shoes,0,155.0,0.0,155.0,Clogs
Crocs, Men's and Women's Classic Clogs from Finish Line,15378,50.0,92.73,50.0,Clogs
Style & Co," Truvyy Platform Clog Sandals, Created for Macy's",27,69.5,94.81,41.7,Clogs
Crocs, Classic Tie Dye Clog Shoes from Finish Line,1797,55.0,93.04,55.0,Clogs
Easy Spirit, Women's Traveltime Mules,30,69.0,92.67,40.99,Clogs
Style & Co," Truppie Platform Clogs, Created for Macy's",6,69.5,86.67,41.7,Clogs
Crocs, Men's and Women's Classic Tie Dye Clogs from Finish Line,1795,55.0,93.13,55.0,Clogs
Skechers, Women's Foamies GOwalk 5 - Sea Scape Clogs from Finish Line,120,50.0,89.67,40.0,Clogs
Easy Spirit, Women's Dawn Slingback Heel Clogs,3,89.0,60.0,89.0,Clogs
Skechers, Women's Foamies GOwalk 5 Dog Lover Walking Clog Shoes from Finish Line,15,55.0,93.33,55.0,Clogs
UGG®, Women's Coquette Slide Slippers,2414,120.0,91.74,120.0,Clogs
SoftWalk, Madison Clog,1,119.95,80.0,119.95,Clogs
Juicy Couture, Women's Cora Plush Clog Slippers,0,50.0,0.0,27.5,Clogs
Easy Spirit, Women's Traveltime Mules,6,69.0,100.0,40.99,Clogs
Crocs, Women's Classic Printed Clog Shoes from Finish Line,97,55.0,94.85,55.0,Clogs
KORKS, Women's Wynne Comfort Clog,4,100.0,85.0,100.0,Clogs
b.o.c., Women's Cecila Comfort Clog,0,90.0,0.0,90.0,Clogs
Crocs, Men's On-The-Clock Work Slip-on Clogs from Finish Line,1055,45.0,79.37,45.0,Clogs
Jessica Simpson, Women's Tiarah Block Heel Clogs,0,98.0,0.0,44.93,Clogs
Born, Women's Bandy Comfort Clogs,0,100.0,0.0,100.0,Clogs
Giani Bernini," Women's Memory Foam Cavvell Clogs, Created for Macy's",11,69.5,67.27,69.5,Clogs
Skechers, Sketchers Women's Foamiest GO walk 5 - Stars and Stripes Clogs from Finish Line,32,50.0,95.0,50.0,Clogs
Easy Spirit, Women's Dusk Mule Clogs,11,89.0,58.18,52.99,Clogs
KORKS, Women's Evah Clog,5,110.0,88.0,110.0,Clogs
UGG®, Women's Tasman Slippers,2823,100.0,95.41,100.0,Clogs
Easy Street, Easy Works by Women's Letsee Mary Jane Clogs,13,50.0,90.77,50.0,Clogs
MIA, Sofia Swedish Clogs,3,100.0,66.67,100.0,Clogs
CAPE ROBBIN, Women's Gardener Clogs,2,64.99,90.0,64.99,Clogs
Dr. Scholl's, Dynamo Clogs,40,75.0,69.0,75.0,Clogs
Easy Street, Easy Works By Women's Bentley Slip Resistant Clogs,16,75.0,78.75,36.99,Clogs
Easy Street, Easy Works by Women's Tiffany Clogs,2,50.0,90.0,50.0,Clogs
Easy Street, Easy Works by Kris Clogs,7,35.0,57.14,16.99,Clogs
CAPE ROBBIN, Women's Gardener-3 Clogs ,0,69.99,0.0,69.99,Clogs
Rialto,  Valencia Comfort Clog Sandals,8,59.0,75.0,59.0,Clogs
Rialto,  Visalia Comfort Clogs,4,59.0,70.0,59.0,Clogs
Skechers, Women's Foamies GOwalk 5 - Boogie Down Clogs from Finish Line,13,55.0,93.85,55.0,Clogs
Skechers, Women's Cali Gear: GOwalk 5 - Astonished Walking Clog Sandal from Finish Line,120,50.0,89.67,50.0,Clogs
Clarks, Collection Women's Channing Ann Flats,130,90.0,89.38,53.99,Clogs
Easy Street, Easy Works by Women's Laurie Clogs,2,50.0,80.0,50.0,Clogs
Easy Street, Easy Works Laurie Clogs,6,50.0,56.67,24.99,Clogs
Easy Spirit, Martha Stewart x Women's Tgarden Slip-On Clogs,0,59.0,0.0,24.93,Clogs
Easy Spirit, Women's Travelcoast Clogs,0,69.0,0.0,69.0,Clogs
Crocs, Bistro Clogs from Finish Line,1754,45.0,86.96,45.0,Clogs
Easy Street, Women's Easy Works Leeza Slip Resistant Clogs,5,50.0,80.0,50.0,Clogs
Crocs, Classic Lined Clogs from Finish Line,3727,60.0,93.79,60.0,Clogs
Crocs, Women's Classic Bae Clogs from Finish Line,974,60.0,91.81,60.0,Clogs
Easy Spirit, Martha Stewart x Women's Traveltime Clogs,3,69.0,100.0,69.0,Clogs
Rialto,  Valora Comfort Clog Sandals,4,59.0,35.0,59.0,Clogs
Crocs, Classic Leopard Lined Clogs from Finish Line,164,50.0,93.78,50.0,Clogs
Easy Spirit, Martha Stewart x Women's Tgarden Slip-On Clogs,2,59.0,80.0,34.99,Clogs
Easy Spirit, Martha Stewart x Women's Travelport Clogs,4,69.0,80.0,69.0,Clogs
London Fog, Women's Renee Clog Sandals,1,39.0,100.0,39.0,Clogs
Born, Women's Talquin Clog,4,100.0,95.0,49.93,Clogs
MIA, Greta Swedish Clogs,4,110.0,85.0,110.0,Clogs
Easy Spirit, Women's Argyle Mesh Clogs,1,69.0,60.0,69.0,Clogs
Rialto,  Vinto Comfort Mule Clogs,2,59.0,100.0,59.0,Clogs
Easy Street, Easy Works By Lyndee Slip Resistant Clogs,66,50.0,63.64,24.99,Clogs
Steve Madden, Brooklyn Studded Clogs,1,99.0,100.0,99.0,Clogs
MIA, Women's Abba Lug Sole Clogs,6,110.0,73.33,110.0,Clogs
Easy Street, Easy Works by Women's Leeza Clogs,20,50.0,56.0,24.99,Clogs
Rialto,  Vispa Comfort Clog Sandals,0,59.0,0.0,59.0,Clogs
Journee Collection, Women's Winona Boot,1,109.0,80.0,109.0,Boots
Journee Collection, Women's Paisley Boot,4,119.99,55.0,119.99,Boots
Journee Collection, Women's Wide Calf Kasim Boot,1,83.0,40.0,83.0,Boots
Camper, Women's Juddie Chelsea Bootie,0,210.0,0.0,210.0,Boots
Journee Collection, Women's Extra Wide Calf Harley Boot,2,99.0,20.0,99.0,Boots
Journee Collection, Women's Takani Winter Boot,2,100.0,60.0,100.0,Boots
Muk Luks, Nikki Boots,0,99.0,0.0,99.0,Boots
Minnetonka, Dixon Narrow Boot,1,75.95,20.0,75.95,Boots
Muk Luks, Women's Nina Boots,0,125.0,0.0,125.0,Boots
Aerosoles, Women's Epigram Booties,10,155.0,90.0,155.0,Boots
Dirty Laundry, Raeven Booties,0,69.95,0.0,69.95,Boots
Journee Collection, Women's Wide Calf Loft Boot,0,99.0,0.0,29.93,Boots
Camper, Women's Iman Regular Ankle Boots,0,199.0,0.0,199.0,Boots
Journee Collection, Women's Wide Calf Lady Boot,2,78.0,60.0,78.0,Boots
Lamo, Women's Liberty Sheepskin Boots,1,172.0,80.0,172.0,Boots
Journee Collection, Women's Wide Calf Rebecca-02 Boot,1,59.0,20.0,59.0,Boots
Journee Collection, Women's Wide Calf Ivie Boot,1,99.0,40.0,99.0,Boots
Propét, Women's Delaney Frost Cold Weather Boots,0,109.95,0.0,109.95,Boots
Journee Collection, Women's Foam Slope Winter Boot,0,89.99,0.0,89.99,Boots
dav, Cambridge Waterproof Women's Nylon Boot,1,129.0,100.0,129.0,Boots
Lugz, Women's Stormy Classic Duck Toe Water Resistant Regular Fashion Boot,9,84.99,75.56,84.99,Boots
Journee Collection, Women's Wide Calf Brooklyn Boot,0,99.99,0.0,99.99,Boots
Muk Luks, Women's Gerri Boots,0,109.0,0.0,109.0,Boots
Journee Collection, Women's Regular Jayne Boot,0,59.0,0.0,59.0,Boots
Olivia Miller, Women's Nadine Cold Weather Boots,5,49.0,40.0,49.0,Boots
Journee Collection, Women's Wide Calf Marcel Boot,2,78.0,60.0,78.0,Boots
Journee Collection, Women's Jester-01 Boot,8,69.0,55.0,69.0,Boots
dav, Manchester Waterproof Women’s Mid Height Boot,0,89.0,0.0,89.0,Boots
Journee Collection, Women's Marcel Boot,0,99.0,0.0,99.0,Boots
Muk Luks, Women's Evrill Boots,0,115.0,0.0,115.0,Boots
Muk Luks, Women's Carey Boots,0,65.0,0.0,65.0,Boots
Franco Sarto, Domingo Booties,13,139.0,89.23,139.0,Boots
SUPERLAMB, Women's Argali Booties,1,139.0,100.0,139.0,Boots
Dr. Scholl's, Brilliance Tall Boots,2,89.99,50.0,89.99,Boots
Propét, Women's Delaney Alpine Cold Weather Boots,0,84.95,0.0,84.95,Boots
Dr. Scholl's, Women's Brilliance High Shaft Boots,1,110.0,60.0,110.0,Boots
Muk Luks, Women's Nikki Boots,0,99.0,0.0,99.0,Boots
Kenneth Cole Reaction, Women's Salt Stretch Bootie,0,115.0,0.0,115.0,Boots
Wild Pair," Ryyder Lace-Up Lug Sole Combat Booties, Created for Macy's ",50,69.5,87.2,29.93,Boots
Baretraps, Augustina Water Resistant Women's Bootie,12,109.0,88.33,29.93,Boots
Marc Fisher, Women's Ulora Booties,8,149.0,90.0,24.96,Boots
Dr. Scholl's, Women's Love To Booties,0,90.0,0.0,90.0,Boots
XOXO, Women's Jamsey Ankle Bootie,5,69.0,88.0,14.96,Boots
